ts_start,ts_end,latency_ms,stage,gpu,frame,warmup
1761041746.6625216,1761041746.6625216,0.0,frame_read,False,21,True
1761041746.6635222,1761041746.6645553,1.033,bev_warp,False,21,True
1761041746.6675544,1761041746.6885731,21.019,detect_yolo,True,21,True
1761041746.6885731,1761041746.6895757,1.003,track_bytetrack,False,21,1,True
1761041746.6895757,1761041746.7035837,14.008,cls_turn,True,21,1,True
1761041746.704587,1761041746.7105896,6.003,cls_brake,True,21,1,True
1761041746.7115893,1761041746.7306066,19.017,traj_predict,True,1,30
1761041746.7421134,1761041746.7436173,1.504,video_write,False,21,True
1761041746.744623,1761041746.744623,0.0,frame_read,False,22,True
1761041746.7456276,1761041746.7466276,1.0,bev_warp,False,22,True
1761041746.7496274,1761041746.7607162,11.089,detect_yolo,True,22,True
1761041746.7607162,1761041746.7617176,1.001,track_bytetrack,False,22,1,True
1761041746.7617176,1761041746.7712271,9.51,cls_turn,True,22,1,True
1761041746.7712271,1761041746.776737,5.51,cls_brake,True,22,1,True
1761041746.7777402,1761041746.7967534,19.013,traj_predict,True,1,30
1761041746.8082614,1761041746.8082614,0.0,video_write,False,22,True
1761041746.8092628,1761041746.8092628,0.0,frame_read,False,23,True
1761041746.8102627,1761041746.8112614,0.999,bev_warp,False,23,True
1761041746.8147671,1761041746.8242757,9.509,detect_yolo,True,23,True
1761041746.8252761,1761041746.8252761,0.0,track_bytetrack,False,23,1,True
1761041746.8262787,1761041746.8377867,11.508,cls_turn,True,23,1,True
1761041746.8377867,1761041746.8432908,5.504,cls_brake,True,23,1,True
1761041746.8452954,1761041746.8633106,18.015,traj_predict,True,1,30
1761041746.876329,1761041746.8773289,1.0,video_write,False,23,True
1761041746.8773289,1761041746.8773289,0.0,frame_read,False,24,True
1761041746.878329,1761041746.880329,2.0,bev_warp,False,24,True
1761041746.8833287,1761041746.8933382,10.01,detect_yolo,True,24,True
1761041746.8943427,1761041746.8943427,0.0,track_bytetrack,False,24,0,True
1761041746.9013438,1761041746.902344,1.0,video_write,False,24,True
1761041746.9033444,1761041746.9033444,0.0,frame_read,False,25,True
1761041746.9045022,1761041746.9055064,1.004,bev_warp,False,25,True
1761041746.9085066,1761041746.918022,9.515,detect_yolo,True,25,True
1761041746.919022,1761041746.9200218,1.0,track_bytetrack,False,25,1,True
1761041746.9200218,1761041746.9315324,11.511,cls_turn,True,25,1,True
1761041746.9325345,1761041746.9370394,4.505,cls_brake,True,25,1,True
1761041746.93904,1761041746.9565554,17.515,traj_predict,True,1,30
1761041746.9710648,1761041746.9720654,1.001,video_write,False,25,True
1761041746.9720654,1761041746.9720654,0.0,frame_read,False,26,True
1761041746.973569,1761041746.9755735,2.005,bev_warp,False,26,True
1761041746.9785733,1761041746.999234,20.661,detect_yolo,True,26,True
1761041747.000234,1761041747.000234,0.0,track_bytetrack,False,26,1,True
1761041747.001235,1761041747.0152469,14.012,cls_turn,True,26,1,True
1761041747.0152469,1761041747.022249,7.002,cls_brake,True,26,1,True
1761041747.0247552,1761041747.0422661,17.511,traj_predict,True,1,30
1761041747.065291,1761041751.686151,4620.86,llava_call,True,9007,1,True
1761041751.6930048,1761041751.6935256,0.521,video_write,False,26,True
1761041751.6945438,1761041751.6945438,0.0,frame_read,False,27,True
1761041751.6955433,1761041751.6965432,1.0,bev_warp,False,27,True
1761041751.699543,1761041751.710062,10.519,detect_yolo,True,27,True
1761041751.710062,1761041751.7110624,1.0,track_bytetrack,False,27,1,True
1761041751.7110624,1761041751.718574,7.512,cls_turn,True,27,1,True
1761041751.718574,1761041751.7246182,6.044,cls_brake,True,27,1,True
1761041751.7256174,1761041751.7361228,10.505,traj_predict,True,1,30
1761041751.74763,1761041751.7486298,1.0,video_write,False,27,True
1761041751.7496297,1761041751.7496297,0.0,frame_read,False,28,True
1761041751.75063,1761041751.75263,2.0,bev_warp,False,28,True
1761041751.755136,1761041751.7651467,10.011,detect_yolo,True,28,True
1761041751.7651467,1761041751.766149,1.002,track_bytetrack,False,28,1,True
1761041751.766149,1761041751.77215,6.001,cls_turn,True,28,1,True
1761041751.77215,1761041751.777657,5.507,cls_brake,True,28,1,True
1761041751.7786572,1761041751.7871647,8.507,traj_predict,True,1,30
1761041751.7967277,1761041751.7977266,0.999,video_write,False,28,True
1761041751.7987263,1761041751.7987263,0.0,frame_read,False,29,True
1761041751.799727,1761041751.8017762,2.049,bev_warp,False,29,True
1761041751.8062837,1761041751.81579,9.506,detect_yolo,True,29,True
1761041751.81579,1761041751.81679,1.0,track_bytetrack,False,29,1,True
1761041751.81679,1761041751.823291,6.501,cls_turn,True,29,1,True
1761041751.823291,1761041751.828296,5.005,cls_brake,True,29,1,True
1761041751.829296,1761041751.8378046,8.508,traj_predict,True,1,30
1761041751.8453102,1761041756.4659455,4620.635,llava_call,True,9010,1,True
1761041756.4724643,1761041756.473467,1.003,video_write,False,29,True
1761041756.4745243,1761041756.4745243,0.0,frame_read,False,30,True
1761041756.4755223,1761041756.4765213,0.999,bev_warp,False,30,True
1761041756.4795218,1761041756.4890275,9.506,detect_yolo,True,30,True
1761041756.49003,1761041756.49003,0.0,track_bytetrack,False,30,1,True
1761041756.4910288,1761041756.497536,6.507,cls_turn,True,30,1,True
1761041756.498538,1761041756.5025368,3.999,cls_brake,True,30,1,True
1761041756.504039,1761041756.5135484,9.509,traj_predict,True,1,30
1761041756.5225544,1761041756.5235543,1.0,video_write,False,30,True
1761041756.5240574,1761041756.5240574,0.0,frame_read,False,31,True
1761041756.5250616,1761041756.5260644,1.003,bev_warp,False,31,True
1761041756.529066,1761041756.5395732,10.507,detect_yolo,True,31,True
1761041756.5395732,1761041756.5405731,1.0,track_bytetrack,False,31,1,True
1761041756.5405731,1761041756.5470812,6.508,cls_turn,True,31,1,True
1761041756.5470812,1761041756.552081,5.0,cls_brake,True,31,1,True
1761041756.552081,1761041756.562589,10.508,traj_predict,True,1,30
1761041756.5741963,1761041756.5751987,1.002,video_write,False,31,True
1761041756.5751987,1761041756.5751987,0.0,frame_read,False,32,True
1761041756.576203,1761041756.5782027,2.0,bev_warp,False,32,True
1761041756.5812025,1761041756.601745,20.542,detect_yolo,True,32,True
1761041756.601745,1761041756.6027465,1.002,track_bytetrack,False,32,1,True
1761041756.6027465,1761041756.615759,13.012,cls_turn,True,32,1,True
1761041756.6167588,1761041756.623759,7.0,cls_brake,True,32,1,True
1761041756.6242614,1761041756.6337698,9.508,traj_predict,True,1,30
1761041756.6427753,1761041761.3257332,4682.958,llava_call,True,9013,1,True
1761041761.332257,1761041761.3337626,1.506,video_write,False,32,True
1761041761.3337626,1761041761.3337626,0.0,frame_read,False,33,True
1761041761.3347697,1761041761.336767,1.997,bev_warp,False,33,True
1761041761.3397672,1761041761.3489819,9.215,detect_yolo,True,33,True
1761041761.349981,1761041761.349981,0.0,track_bytetrack,False,33,1,True
1761041761.350982,1761041761.3584929,7.511,cls_turn,True,33,1,True
